LocationId,TSS Hillslope,TSS Gully,TSS Inchannel,TSS Point,TSS Total,Microbial,Combined
0,4,4,4,5,4,5,5
1,4.325330123,2.694357029,3.407019105,3.236586536,3.629612776,1.547120503,5
2,2.695297403,4.602974724,2.71171531,1.303453697,3.637234378,1.586008319,5
3,2.413703357,3.104823053,4.909618294,4.546939855,3.489986349,4.052281003,5
4,2.421374345,4.377012828,2.113917338,1.746015932,2.878122014,4.607658639,5
5,4.66977633,2.777144604,2.463586074,3.39404206,3.637367709,2.629578192,5
6,4.33364516,4.513142122,4.743720449,3.795808768,2.668598732,3.767815322,5
7,3.654538597,2.381923247,3.5542999,1.751035427,3.339736911,2.252409776,4
8,3.875023674,4.523860182,2.009948306,2.236099156,4.419723202,3.232814392,5
9,1.981342805,2.209554212,1.935439366,4.075729473,3.261064584,3.46076351,5
10,2.394978161,3.469731107,1.783986848,3.646866435,2.578089503,3.643548363,4
11,3.027320156,2.626518322,2.984592025,4.466050087,2.158247717,2.068151782,5
12,3.650689706,3.629719143,2.080611918,4.917399328,4.28072325,3.615889211,5
13,1.744687734,4.387192396,4.567629544,1.739009466,3.403002121,2.84474918,5
14,4.20501978,3.736249941,3.030332175,4.197025868,3.418746162,3.569845124,5
15,4.943629532,4.860929094,4.335336015,3.076153277,1.815283174,2.193718584,5
16,3.551142242,1.946041145,3.960277338,3.862303313,3.859532553,4.067046004,5
17,2.862368302,3.38190818,1.499540187,4.631037263,2.918861846,1.456000602,5
18,1.322437688,3.224279906,1.297687489,2.229276923,4.74724069,2.130208131,5
19,3.569936122,3.33249992,1.118225117,3.963112386,2.063372174,4.587498195,5
20,2.850877431,2.198020739,1.948751364,1.11451469,4.487286084,4.360489704,5
21,3.995500885,3.093736434,2.511007209,3.619448814,1.701384049,4.0618479,5
22,1.957244845,3.856664079,3.112031827,2.781712049,1.092761928,2.067540435,4
23,2.15692179,1.218023992,1.185081031,3.244057641,4.169456424,3.346531783,5
24,3.985706808,3.846294243,1.692547437,2.122790473,1.199183827,3.361751526,4
25,3.156536729,3.969555398,3.406238589,4.176919416,2.724432327,4.577356266,5
26,1.359442115,1.560183145,4.450825821,4.081446454,1.09407001,4.85392582,5
27,1.420208572,1.345536029,4.654665289,4.593927094,2.688048725,3.172241277,5
28,3.202158776,4.263043748,1.912346525,4.736819194,1.285011865,1.907258682,5
29,4.670582608,4.558166245,1.132839567,1.312362119,3.092627343,3.443683735,5
30,4.781546025,3.790700039,3.068324135,4.654872027,3.405730948,3.325834174,5
31,4.079349953,2.231076681,3.244467874,1.884781357,2.51955029,3.792145438,5
32,4.592465132,4.568147269,4.165054271,1.628244886,1.812304286,3.155440297,5
33,1.784571099,3.219140201,2.455742321,4.668085615,4.744669983,2.924603002,5
34,2.659435895,2.187720097,4.686610405,3.379314681,3.286566454,2.752990359,5
35,4.279390336,2.027754525,3.186482445,3.17715861,4.11298737,2.397090383,5
36,4.959141931,1.500128445,1.507864593,2.164814828,2.280551491,4.542636835,5
37,1.331697335,1.406747499,2.316664686,2.075325801,3.273549866,4.652642317,5
38,3.209424815,2.606105895,2.332243131,3.215737632,2.369804536,1.618914723,4
39,1.707946757,1.005190575,2.015209736,1.085361706,4.800370221,4.773261298,5
40,1.680632127,4.110868334,4.194238797,1.274879341,1.872003418,1.536089848,5
41,2.272620192,4.835114014,2.22146878,1.973328123,1.425955875,3.400308312,5
42,1.848629046,3.806786118,2.525919292,3.323209862,3.944168067,4.158276284,5
43,3.640571301,3.478505071,4.022202449,1.421425535,1.436814808,3.886594446,5
44,4.939091952,4.11042918,2.404706632,4.51976079,3.706676733,3.449787112,5
45,4.071784896,2.564950841,2.79746202,3.62834492,3.809836918,2.587135303,5
46,4.327209937,1.962621481,2.011986204,3.132380411,2.788582644,4.000521774,5
47,3.988339761,2.947033682,3.085967931,1.82752988,2.974319186,3.646784606,4
48,2.184951498,1.71301459,2.613194774,1.109557752,3.08733912,2.043785719,4
49,2.872606156,4.042791296,3.68772855,3.093700988,1.595412321,3.134907069,5
50,4.711185636,3.810368972,4.840643712,4.247067634,1.033562745,2.38356927,5
51,1.003078918,1.520676613,3.896334236,4.061201984,4.693204078,2.114521779,5
52,4.902618664,1.113301724,4.275623426,3.367798224,1.586475812,4.744318093,5
53,1.320406437,4.277792432,1.45858126,2.680414019,3.196385258,1.099957295,5
54,3.563414437,1.143863869,3.718443846,2.251937354,2.911751683,3.075262428,4
55,3.378463948,4.812548666,2.416523724,4.912003464,1.836383018,4.104929483,5
56,4.011926074,2.389067762,3.463696582,3.210968236,1.328557684,2.817115907,5
57,2.572238712,2.27924297,1.182094835,3.244788125,4.261780514,1.171082514,5
58,2.558548276,3.506663903,3.197347047,4.149612394,1.118897614,4.094330233,5
59,4.130710174,4.525541003,3.330723014,2.389757537,3.809315278,3.76659812,5
60,2.535930219,3.111628864,4.762062213,3.046647282,3.088411812,4.477560125,5
61,2.769717485,2.36855857,2.616680292,3.974319412,2.836559615,2.686442144,4
