LocationId,Alternate water and shade,Contour/ swale,Fencing,Pond,Riparian buffer – grassed,Riparian buffer – wooded,Wetland,In-stream bank stabilisation,Gully stabilisation,Hillslope stabilisation,Stream crossing works,Erosion control matting,Catch drains,On-site system programs
1,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,
3,,,,,,,4,,,,,,,
4,,,,,,,,,5,,4,,,
5,,,,,,,,,,5,,,,
6,,,,,,,,,,,,,,
7,,76,,,,,,,,,,,,
8,,21,,,,,,,,,,,,
9,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,1
11,,,,,,,,,,,,9,,
12,,,,,,41,,,,,7,,,
13,,,707,,42,,,,,6,,,,
14,,,,,,,,60,,,7,,,
15,,,,,,,,,,,,,,
16,,,964,,,,,,,,,,,
17,,,,,,,,,,,,,,
18,,,,,,,5,,,4,,,,
19,,,,,,40,,,,3,,,,
20,,,,,87,,,24,,,,,,
21,,,,,,,,,,,6,,,
22,,,,2,,,,,,,5,,,
23,,,,,49,,,,,,,,,
24,,,,,,,,,6,,,,,
25,,,,,,,,,,8,,,,
26,,,,,,,,,,,,,,
27,,,,,,,,,3,,,,,
28,,,,,,,,,,,,,,
29,,14,,,,,,,,,,,,
30,,,,,,,,,,,,,1,
31,,,,,,,,,,7,,,,
32,,,989,,,,,,,,,,,
33,,,,,,,,,,,6,,,
34,,,,,,,,,1,,5,,,
35,,,,,,,,,,,,8,,
36,,,,2,41,,,,,,,,,
37,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,
39,,50,,,,,,,,,,,,
40,,,,,,,,,1,,,,,
41,,,,,,,,,,,,,,
42,,,,,,,,,2,,,,,
43,,,,,,,,,,,,,,
44,,,,,82,,,,,,,,,
45,,53,,,,,,,2,,,,,
46,,,,,,64,,,,,8,,,
47,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,
50,,,883,5,,,,,,3,6,,,
51,,,,,,,,,,,,,,
52,,,,,,,,,1,,,,,
53,,86,,,,,,,,,,,,
54,,,,,,,,,,,2,,,
55,,,,,,,,,,1,,,,
56,,,,,,,,,,,,,,
57,,,,,,,,,2,,1,,,
58,,,,,,,,,,,,,,
59,,,,,30,,,,3,,,,,
60,,,,,,,,,,3,,,,
61,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,
63,,,,,,,,,,8,,,,
64,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,
66,,,,,,,,,1,,,,,
67,,,,,,,,,4,,,,,
68,,,,,,,,,,,,15,,
69,,,,,,,,,9,,,,,
70,,,250,,,,,,,,,,,
71,,,,,,,,,7,,,,,
72,,,,,,,,,,,3,,,
73,,,,,,,,,,,,,,
74,,,,,,,,,2,,,,1,
75,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,
78,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,
80,,,,,,,8,,,,,,,
81,,,,,,,,,,,,,,
82,,,754,5,,,,,,,,,1,
83,,,,,35,,,,,,,,,
84,,,766,,,,,,,,,,,
85,,,,,,,,,,,9,,,
86,,,,,,,,,,,,,,
87,,,117,,,,,,2,,1,,,
88,,,,,,,,,,,,,,
89,,,,,,,,,,,8,,,
90,36,,727,,68,99,3,,4,,,,,
91,,,,,,,,,,,,,,
92,,,,,,,,,,,,,,
93,,,,,,,9,,5,,9,,,
94,,,,,,99,,,,,,,,
95,,,,,,,,,,,,,,
96,,,,,,,,,,,,,,
97,,,,,,,8,,,,,,,
98,49,,,,,,,,,3,,,,
99,,,,,,,,,,,,5,,
