LocationId,Alternate water and shade,Contour/ swale,Fencing,Pond,Riparian buffer – grassed,Riparian buffer – wooded,Wetland,In-stream bank stabilisation,Gully stabilisation,Hillslope stabilisation,Stream crossing works,Erosion control matting,Catch drains,On-site system programs
1,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,
3,,,,,,,380000,,,,,,,
4,,,,,,,,,200000,,360000,,,
5,,,,,,,,,,100000,,,,
6,,,,,,,,,,,,,,
7,,1900000,,,,,,,,,,,,
8,,525000,,,,,,,,,,,,
9,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,62500
11,,,,,,,,,,,,135000,,
12,,,,,,1435000,,,,,630000,,,
13,,,6363000,,630000,,,,,120000,,,,
14,,,,,,,,7200000,,,630000,,,
15,,,,,,,,,,,,,,
16,,,8676000,,,,,,,,,,,
17,,,,,,,,,,,,,,
18,,,,,,,475000,,,80000,,,,
19,,,,,,1400000,,,,60000,,,,
20,,,,,1305000,,,2880000,,,,,,
21,,,,,,,,,,,540000,,,
22,,,,100000,,,,,,,450000,,,
23,,,,,735000,,,,,,,,,
24,,,,,,,,,240000,,,,,
25,,,,,,,,,,160000,,,,
26,,,,,,,,,,,,,,
27,,,,,,,,,120000,,,,,
28,,,,,,,,,,,,,,
29,,350000,,,,,,,,,,,,
30,,,,,,,,,,,,,40000,
31,,,,,,,,,,140000,,,,
32,,,8901000,,,,,,,,,,,
33,,,,,,,,,,,540000,,,
34,,,,,,,,,40000,,450000,,,
35,,,,,,,,,,,,120000,,
36,,,,100000,615000,,,,,,,,,
37,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,
39,,1250000,,,,,,,,,,,,
40,,,,,,,,,40000,,,,,
41,,,,,,,,,,,,,,
42,,,,,,,,,80000,,,,,
43,,,,,,,,,,,,,,
44,,,,,1230000,,,,,,,,,
45,,1325000,,,,,,,80000,,,,,
46,,,,,,2240000,,,,,720000,,,
47,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,
50,,,7947000,250000,,,,,,60000,540000,,,
51,,,,,,,,,,,,,,
52,,,,,,,,,40000,,,,,
53,,2150000,,,,,,,,,,,,
54,,,,,,,,,,,180000,,,
55,,,,,,,,,,20000,,,,
56,,,,,,,,,,,,,,
57,,,,,,,,,80000,,90000,,,
58,,,,,,,,,,,,,,
59,,,,,450000,,,,120000,,,,,
60,,,,,,,,,,60000,,,,
61,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,
63,,,,,,,,,,160000,,,,
64,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,
66,,,,,,,,,40000,,,,,
67,,,,,,,,,160000,,,,,
68,,,,,,,,,,,,225000,,
69,,,,,,,,,360000,,,,,
70,,,2250000,,,,,,,,,,,
71,,,,,,,,,280000,,,,,
72,,,,,,,,,,,270000,,,
73,,,,,,,,,,,,,,
74,,,,,,,,,80000,,,,40000,
75,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,
78,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,
80,,,,,,,760000,,,,,,,
81,,,,,,,,,,,,,,
82,,,6786000,250000,,,,,,,,,40000,
83,,,,,525000,,,,,,,,,
84,,,6894000,,,,,,,,,,,
85,,,,,,,,,,,810000,,,
86,,,,,,,,,,,,,,
87,,,1053000,,,,,,80000,,90000,,,
88,,,,,,,,,,,,,,
89,,,,,,,,,,,720000,,,
90,1260000,,6543000,,1020000,3465000,285000,,160000,,,,,
91,,,,,,,,,,,,,,
92,,,,,,,,,,,,,,
